model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
embedding_svm,phase5a,preserving,ea2433d2cff65664,ea2433d2cff65664__preserve_idrename,Python,p02699,identifier_rename,auto_pass,yes,True,0.9815,no,False,0.3011,False,True,False,True,0.6804000000000001,"{""val"": ""renamed_var_1"", ""mid"": ""renamed_var_2"", ""prime"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,f3687bf8c6190962,f3687bf8c6190962__preserve_idrename,Python,p03131,identifier_rename,auto_pass,no,False,0.003,no,False,0.3347,True,False,False,False,-0.3317,"{""cur"": ""renamed_var_1""}",semantic_preserving
embedding_svm,phase5a,preserving,45b8e3ac55c656a5,45b8e3ac55c656a5__preserve_idrename,Python,p03000,identifier_rename,auto_pass,yes,True,0.9397,no,False,0.0002,False,True,False,True,0.9395,"{""cnt"": ""renamed_var_1""}",semantic_preserving
embedding_svm,phase5a,preserving,45bfd695fa7f23ee,45bfd695fa7f23ee__preserve_idrename,Python,p02823,identifier_rename,auto_pass,yes,True,1.0,yes,True,1.0,True,False,True,False,0.0,"{""temp"": ""renamed_var_1"", ""cnt1"": ""renamed_var_2"", ""cnt2"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,5f8926c61109288e,5f8926c61109288e__preserve_idrename,Python,p02741,identifier_rename,auto_pass,yes,True,0.9508,yes,True,0.9561,True,False,True,False,-0.005299999999999971,"{""prev"": ""renamed_var_1"", ""pre"": ""renamed_var_2"", ""sx"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,95e313b105763103,95e313b105763103__preserve_idrename,Python,p03267,identifier_rename,auto_pass,yes,True,0.9826,yes,True,0.9845,True,False,True,False,-0.0019000000000000128,"{""do"": ""renamed_var_1"", ""vertex"": ""renamed_var_2"", ""edge"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,6f15a2a012df4794,6f15a2a012df4794__preserve_idrename,Python,p03262,identifier_rename,auto_pass,yes,True,0.9999,yes,True,1.0,True,False,True,False,-9.999999999998899e-05,"{""x_lst"": ""renamed_var_1"", ""minimum"": ""renamed_var_2"", ""lst"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,4a338c0ee00e93ff,4a338c0ee00e93ff__preserve_idrename,Python,p02852,identifier_rename,auto_pass,yes,True,1.0,yes,True,1.0,True,False,True,False,0.0,"{""sap"": ""renamed_var_1"", ""sl"": ""renamed_var_2"", ""xap"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,cca4ff22383c99c0,cca4ff22383c99c0__preserve_idrename,Python,p03254,identifier_rename,auto_pass,yes,True,1.0,yes,True,0.7732,True,False,True,False,0.2268,"{""arr"": ""renamed_var_1"", ""best"": ""renamed_var_2"", ""temp"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,61ac4df01241c451,61ac4df01241c451__preserve_idrename,Python,p02912,identifier_rename,auto_pass,yes,True,0.97,yes,True,0.97,True,False,True,False,0.0,"{""A_new"": ""renamed_var_1"", ""mimi"": ""renamed_var_2"", ""val"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,115b20fd23d37ece,115b20fd23d37ece__preserve_idrename,Python,p02985,identifier_rename,auto_pass,yes,True,0.8647,no,False,0.0059,False,True,False,True,0.8588,"{""mod"": ""renamed_var_1"", ""edge"": ""renamed_var_2"", ""pl"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,91e6856c58727da2,91e6856c58727da2__preserve_idrename,Python,p03315,identifier_rename,auto_pass,yes,True,1.0,no,False,0.0,False,True,False,True,1.0,"{""result"": ""renamed_var_1""}",semantic_preserving
embedding_svm,phase5a,preserving,117ad1a0bf77f7b1,117ad1a0bf77f7b1__preserve_idrename,Python,p02399,identifier_rename,auto_pass,no,False,0.0002,yes,True,0.5239,False,True,False,False,-0.5237,"{""line"": ""renamed_var_1"", ""numbers"": ""renamed_var_2"", ""item"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,a8332c76f4a7ceed,a8332c76f4a7ceed__preserve_idrename,Python,p02419,identifier_rename,auto_pass,yes,True,1.0,yes,True,0.9837,True,False,True,False,0.01629999999999998,"{""Counter"": ""renamed_var_1"", ""Text_W"": ""renamed_var_2"", ""Text_T"": ""renamed_var_3""}",semantic_preserving
embedding_svm,phase5a,preserving,530051f2f2db34d4,530051f2f2db34d4__preserve_idrename,Python,p02694,identifier_rename,auto_pass,yes,True,0.9967,yes,True,0.9995,True,False,True,False,-0.0028000000000000247,"{""ini"": ""renamed_var_1"", ""inm"": ""renamed_var_2"", ""inl"": ""renamed_var_3""}",semantic_preserving
