model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
unixcoder,breaking_v1,breaking,c689157cf42dc511,c689157cf42dc511__break_boolean_literal_flip,Python,p02696,boolean_literal_flip,auto_pass,no,False,0.2918,no,False,0.2918,True,False,False,False,0.0,"{""inf"": ""renamed_var_1"", ""eps"": ""renamed_var_2"", ""mod"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,7b2f471300b303aa,7b2f471300b303aa__break_comparator_flip,Go,p02612,comparator_flip,manual_required,yes,True,0.9874,yes,True,0.9874,True,False,True,False,0.0,"{""post"": ""renamedVar1"", ""pre"": ""renamedVar2"", ""div"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,da25ea3ba4cffb11,da25ea3ba4cffb11__break_comparator_flip,JavaScript,p02852,comparator_flip,auto_pass,no,False,0.2159,no,False,0.2123,True,False,False,False,0.00360000000000002,"{""ansArray"": ""renamedVar1"", ""presentIdx"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,bd4648d43dca43e0,bd4648d43dca43e0__break_comparator_flip,C++,p03000,comparator_flip,auto_pass,yes,True,0.9813,yes,True,0.9813,True,False,True,False,0.0,"{""N"": ""renamedVar1"", ""i"": ""renamedVar2"", ""result"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,e81e53daaa872734,e81e53daaa872734__break_comparator_flip,C++,p02823,comparator_flip,manual_required,yes,True,0.9396,yes,True,0.9396,True,False,True,False,0.0,"{""i"": ""renamedVar1"", ""n"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,1dd23961cc5137a8,1dd23961cc5137a8__break_comparator_flip,Go,p02823,comparator_flip,manual_required,no,False,0.3027,no,False,0.3027,True,False,False,False,0.0,"{""in"": ""renamedVar1"", ""err"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,089151f5e7341729,089151f5e7341729__break_comparator_flip,JavaScript,p02898,comparator_flip,auto_pass,yes,True,0.9669,yes,True,0.9656,True,False,True,False,0.0012999999999999678,"{""IN"": ""renamedVar1"", ""list"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,5a0835cb444f08ae,5a0835cb444f08ae__break_comparator_flip,JavaScript,p03162,comparator_flip,auto_pass,yes,True,0.9857,yes,True,0.9857,True,False,True,False,0.0,"{""maxs"": ""renamedVar1"", ""maxsub"": ""renamedVar2"", ""tmp"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,9651bda37cc192f8,9651bda37cc192f8__break_comparator_flip,JavaScript,p02927,comparator_flip,auto_pass,yes,True,0.8234,yes,True,0.8234,True,False,True,False,0.0,"{""answer"": ""renamedVar1"", ""count"": ""renamedVar2"", ""number"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,d0c0c43b532e1531,d0c0c43b532e1531__break_comparator_flip,C++,p03293,comparator_flip,auto_pass,no,False,0.3773,no,False,0.3773,True,False,False,False,0.0,"{""Maxn"": ""renamedVar1"", ""Inf"": ""renamedVar2"", ""a"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,5b9ffe45cac5dcef,5b9ffe45cac5dcef__break_boolean_literal_flip,JavaScript,p03267,boolean_literal_flip,auto_pass,yes,True,0.974,yes,True,0.9742,True,False,True,False,-0.00019999999999997797,"{""cin"": ""renamedVar1"", ""ce"": ""renamedVar2"", ""te"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,7ef113cd6b0395bf,7ef113cd6b0395bf__break_comparator_flip,Go,p02852,comparator_flip,manual_required,yes,True,0.7247,yes,True,0.7247,True,False,True,False,0.0,"{""dp"": ""renamedVar1"", ""blockSize"": ""renamedVar2"", ""blockNum"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,9debef7aaa13c827,9debef7aaa13c827__break_comparator_flip,Go,p03262,comparator_flip,manual_required,yes,True,0.5373,yes,True,0.5396,True,False,True,False,-0.0022999999999999687,"{""cities"": ""renamedVar1"", ""dis"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,f30ea2ae90715f6d,f30ea2ae90715f6d__break_comparator_flip,Go,p02797,comparator_flip,manual_required,yes,True,0.99,yes,True,0.9907,True,False,True,False,-0.0007000000000000339,"{""strs"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,5fb03a234a88bb66,5fb03a234a88bb66__break_comparator_flip,C++,p02957,comparator_flip,auto_pass,yes,True,0.9807,yes,True,0.9807,True,False,True,False,0.0,"{""a"": ""renamedVar1"", ""p"": ""renamedVar2"", ""q"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,65026679daddd9c4,65026679daddd9c4__break_comparator_flip,C++,p02696,comparator_flip,auto_pass,yes,True,0.9503,yes,True,0.9503,True,False,True,False,0.0,"{""aa"": ""renamedVar1"", ""i"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,117ad1a0bf77f7b1,117ad1a0bf77f7b1__break_integer_literal_perturb,Python,p02399,integer_literal_perturb,auto_pass,yes,True,0.8529,yes,True,0.9002,True,False,True,False,-0.04730000000000001,"{""line"": ""renamed_var_1"", ""numbers"": ""renamed_var_2"", ""item"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,ecefc144f1ba506e,ecefc144f1ba506e__break_comparator_flip,JavaScript,p02985,comparator_flip,auto_pass,yes,True,0.9771,yes,True,0.9771,True,False,True,False,0.0,"{""nodes"": ""renamedVar1"", ""stack"": ""renamedVar2"", ""cc"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,688026d3d0aa82b9,688026d3d0aa82b9__break_comparator_flip,JavaScript,p02741,comparator_flip,auto_pass,yes,True,0.9851,yes,True,0.9849,True,False,True,False,0.00019999999999997797,"{""list"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,5c8c08fabb74b213,5c8c08fabb74b213__break_comparator_flip,Python,p02898,comparator_flip,auto_pass,yes,True,0.9883,yes,True,0.9882,True,False,True,False,9.999999999998899e-05,"{""arr"": ""renamed_var_1"", ""start"": ""renamed_var_2"", ""end"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,e41cc8a5db397f54,e41cc8a5db397f54__break_comparator_flip,Go,p02699,comparator_flip,manual_required,yes,True,0.9895,yes,True,0.988,True,False,True,False,0.0015000000000000568,"{""answer"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,16c5331c15663611,16c5331c15663611__break_boolean_literal_flip,C++,p02694,boolean_literal_flip,auto_pass,yes,True,0.9642,yes,True,0.9642,True,False,True,False,0.0,"{""a"": ""renamedVar1"", ""s"": ""renamedVar2"", ""k"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,a5880457ed30afb8,a5880457ed30afb8__break_comparator_flip,C++,p03162,comparator_flip,manual_required,no,False,0.2219,no,False,0.2219,True,False,False,False,0.0,"{""N"": ""renamedVar1"", ""M"": ""renamedVar2"", ""MOD"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,683c944b4865cb6c,683c944b4865cb6c__break_comparator_flip,Python,p02927,comparator_flip,auto_pass,yes,True,0.9696,yes,True,0.9696,True,False,True,False,0.0,"{""d_1"": ""renamed_var_1"", ""d_2"": ""renamed_var_2""}",semantic_breaking
unixcoder,breaking_v1,breaking,35f2af3c7a290c8a,35f2af3c7a290c8a__break_comparator_flip,JavaScript,p03206,comparator_flip,auto_pass,yes,True,0.9932,yes,True,0.9932,True,False,True,False,0.0,"{""day"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,e2e3ebdd8e3fcd12,e2e3ebdd8e3fcd12__break_comparator_flip,Go,p02775,comparator_flip,manual_required,yes,True,0.5308,yes,True,0.5308,True,False,True,False,0.0,"{""res"": ""renamedVar1"", ""dp"": ""renamedVar2"", ""num"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,11f877dbc473818c,11f877dbc473818c__break_answer_string_flip,JavaScript,p02700,answer_string_flip,auto_pass,no,False,0.0734,no,False,0.0702,True,False,False,False,0.0032000000000000084,"{""h1"": ""renamedVar1"", ""s1"": ""renamedVar2"", ""h2"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,45bfd695fa7f23ee,45bfd695fa7f23ee__break_comparator_flip,Python,p02823,comparator_flip,auto_pass,yes,True,0.9818,yes,True,0.9813,True,False,True,False,0.000500000000000056,"{""temp"": ""renamed_var_1"", ""cnt1"": ""renamed_var_2"", ""cnt2"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,252a2a6a872d7c16,252a2a6a872d7c16__break_boolean_literal_flip,C++,p02775,boolean_literal_flip,auto_pass,yes,True,0.6253,yes,True,0.6323,True,False,True,False,-0.007000000000000006,"{""n"": ""renamedVar1"", ""flag"": ""renamedVar2"", ""i"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,59256ecdbda35f77,59256ecdbda35f77__break_boolean_literal_flip,JavaScript,p02912,boolean_literal_flip,auto_pass,no,False,0.0259,no,False,0.0259,True,False,False,False,0.0,"{""idx"": ""renamedVar1"", ""parent"": ""renamedVar2"", ""val"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,95e313b105763103,95e313b105763103__break_comparator_flip,Python,p03267,comparator_flip,auto_pass,yes,True,0.9283,yes,True,0.9246,True,False,True,False,0.0037000000000000366,"{""do"": ""renamed_var_1"", ""vertex"": ""renamed_var_2"", ""edge"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,028535e0d1809887,028535e0d1809887__break_comparator_flip,Python,p02881,comparator_flip,auto_pass,no,False,0.2097,no,False,0.2086,True,False,False,False,0.0010999999999999899,"{""nn"": ""renamed_var_1"", ""factors"": ""renamed_var_2"", ""best"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,b1c2e481bebb96d8,b1c2e481bebb96d8__break_boolean_literal_flip,JavaScript,p02881,boolean_literal_flip,auto_pass,yes,True,0.8167,yes,True,0.809,True,False,True,False,0.007699999999999929,"{""prime"": ""renamedVar1"", ""step"": ""renamedVar2"", ""limit"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,985a9c941871beb0,985a9c941871beb0__break_boolean_literal_flip,C++,p02797,boolean_literal_flip,manual_required,no,False,0.0414,no,False,0.0414,True,False,False,False,0.0,"{""k"": ""renamedVar1"", ""mx"": ""renamedVar2"", ""i"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,ffc2d2d81dddb23d,ffc2d2d81dddb23d__break_comparator_flip,JavaScript,p02612,comparator_flip,auto_pass,yes,True,0.9886,yes,True,0.9895,True,False,True,False,-0.0009000000000000119,"{""result"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,842a4c0c5615af41,842a4c0c5615af41__break_boolean_literal_flip,C++,p02852,boolean_literal_flip,manual_required,yes,True,0.9676,yes,True,0.9676,True,False,True,False,0.0,"{""N"": ""renamedVar1"", ""S"": ""renamedVar2"", ""flag"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,89de705cba0b2fd3,89de705cba0b2fd3__break_comparator_flip,C++,p02912,comparator_flip,manual_required,no,False,0.0329,no,False,0.0329,True,False,False,False,0.0,"{""i"": ""renamedVar1"", ""i2"": ""renamedVar2"", ""i3"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,1ce46fd19d65fc1f,1ce46fd19d65fc1f__break_comparator_flip,Python,p02685,comparator_flip,auto_pass,yes,True,0.9883,yes,True,0.9884,True,False,True,False,-9.999999999998899e-05,"{""mod"": ""renamed_var_1"", ""fact"": ""renamed_var_2"", ""fact_inv"": ""renamed_var_3""}",semantic_breaking
unixcoder,breaking_v1,breaking,ce0ab7822f2dbdd2,ce0ab7822f2dbdd2__break_comparator_flip,C++,p02419,comparator_flip,auto_pass,yes,True,0.9319,yes,True,0.9322,True,False,True,False,-0.000300000000000078,"{""ch"": ""renamedVar1"", ""W"": ""renamedVar2"", ""i"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,2fd8bed5f5e180de,2fd8bed5f5e180de__break_comparator_flip,Go,p02957,comparator_flip,manual_required,yes,True,0.9636,yes,True,0.9647,True,False,True,False,-0.0010999999999999899,"{""sc"": ""renamedVar1"", ""sum"": ""renamedVar2""}",semantic_breaking
unixcoder,breaking_v1,breaking,a21cd3722e0ba534,a21cd3722e0ba534__break_comparator_flip,Go,p02985,comparator_flip,manual_required,yes,True,0.9584,yes,True,0.9584,True,False,True,False,0.0,"{""scanner"": ""renamedVar1"", ""nodes"": ""renamedVar2"", ""mod"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,1a19456dc6fcf835,1a19456dc6fcf835__break_answer_string_flip,C++,p02640,answer_string_flip,auto_pass,no,False,0.1835,no,False,0.1814,True,False,False,False,0.0020999999999999908,"{""x"": ""renamedVar1"", ""s"": ""renamedVar2"", ""u"": ""renamedVar3""}",semantic_breaking
unixcoder,breaking_v1,breaking,91e6856c58727da2,91e6856c58727da2__break_comparator_flip,Python,p03315,comparator_flip,auto_pass,yes,True,0.9535,yes,True,0.9492,True,False,True,False,0.0042999999999999705,"{""result"": ""renamed_var_1""}",semantic_breaking
unixcoder,breaking_v1,breaking,667c4b2bf9af3b9e,667c4b2bf9af3b9e__break_comparator_flip,C++,p03315,comparator_flip,auto_pass,yes,True,0.9903,yes,True,0.9901,True,False,True,False,0.00019999999999997797,"{""s"": ""renamedVar1""}",semantic_breaking
unixcoder,breaking_v1,breaking,916017934a2a7d8b,916017934a2a7d8b__break_comparator_flip,Python,p02701,comparator_flip,auto_pass,no,False,0.2623,no,False,0.2684,True,False,False,False,-0.00610000000000005,"{""sortS"": ""renamed_var_1"", ""count"": ""renamed_var_2""}",semantic_breaking
