model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
a4_full,phase5b,preserving,ea2433d2cff65664,ea2433d2cff65664__preserve_idrename,Python,p02699,identifier_rename,auto_pass,no,False,0.011,no,False,0.016084,True,False,False,False,-0.005084000000000002,"{""val"": ""renamed_var_1"", ""mid"": ""renamed_var_2"", ""prime"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,f3687bf8c6190962,f3687bf8c6190962__preserve_idrename,Python,p03131,identifier_rename,auto_pass,yes,True,0.9188,yes,True,0.923147,True,False,True,False,-0.004347000000000101,"{""cur"": ""renamed_var_1""}",semantic_preserving
a4_full,phase5b,preserving,45b8e3ac55c656a5,45b8e3ac55c656a5__preserve_idrename,Python,p03000,identifier_rename,auto_pass,no,False,0.4636,no,False,0.469764,True,False,False,False,-0.006164000000000003,"{""cnt"": ""renamed_var_1""}",semantic_preserving
a4_full,phase5b,preserving,45bfd695fa7f23ee,45bfd695fa7f23ee__preserve_idrename,Python,p02823,identifier_rename,auto_pass,yes,True,0.908,yes,True,0.913077,True,False,True,False,-0.005076999999999998,"{""temp"": ""renamed_var_1"", ""cnt1"": ""renamed_var_2"", ""cnt2"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,5f8926c61109288e,5f8926c61109288e__preserve_idrename,Python,p02741,identifier_rename,auto_pass,no,False,0.1162,no,False,0.120478,True,False,False,False,-0.004278000000000004,"{""prev"": ""renamed_var_1"", ""pre"": ""renamed_var_2"", ""sx"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,95e313b105763103,95e313b105763103__preserve_idrename,Python,p03267,identifier_rename,auto_pass,yes,True,0.7109,yes,True,0.616472,True,False,True,False,0.09442799999999996,"{""do"": ""renamed_var_1"", ""vertex"": ""renamed_var_2"", ""edge"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,6f15a2a012df4794,6f15a2a012df4794__preserve_idrename,Python,p03262,identifier_rename,auto_pass,yes,True,0.8757,yes,True,0.886987,True,False,True,False,-0.011286999999999936,"{""x_lst"": ""renamed_var_1"", ""minimum"": ""renamed_var_2"", ""lst"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,4a338c0ee00e93ff,4a338c0ee00e93ff__preserve_idrename,Python,p02852,identifier_rename,auto_pass,yes,True,0.5468,yes,True,0.555533,True,False,True,False,-0.008733000000000102,"{""sap"": ""renamed_var_1"", ""sl"": ""renamed_var_2"", ""xap"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,cca4ff22383c99c0,cca4ff22383c99c0__preserve_idrename,Python,p03254,identifier_rename,auto_pass,yes,True,0.6698,yes,True,0.691689,True,False,True,False,-0.021889000000000047,"{""arr"": ""renamed_var_1"", ""best"": ""renamed_var_2"", ""temp"": ""renamed_var_3""}",semantic_preserving
a4_full,phase5b,preserving,61ac4df01241c451,61ac4df01241c451__preserve_idrename,Python,p02912,identifier_rename,auto_pass,no,False,0.1771,no,False,0.196216,True,False,False,False,-0.019115999999999994,"{""A_new"": ""renamed_var_1"", ""mimi"": ""renamed_var_2"", ""val"": ""renamed_var_3""}",semantic_preserving
