CDFR,CDFR_denominator,CPA,CPD,OCA,PFR,SSR,URFR,URFR_denominator,accuracy,avg_label_purity_covered,balanced_accuracy,char_feature_dim,clone_rate_drop,coverage,covered_only_metrics,covered_rows,experiment,f1,fallback_label,fallback_label_text,feature_dim,feature_names,fn,fp,macro_f1,model,n,n_counterfactual_pairs,n_unique_sources,original_clone_rows,original_mean_prob_yes,original_predicted_clone_rate,precision,predicted_positive_rate,prob_yes_drop,protocol,recall,scope,section,selected_c,shuffled_mean_prob_yes,shuffled_predicted_clone_rate,shuffled_rows,tn,tp,uncovered_rows,valid_metrics,variant,variant_label,word_feature_dim
,,,,,,,,,0.8704,,,,,,,,,0.8511,,,,,78,0,,deepseek_v4_flash,602,,,,,,1.0,,,p0-eb,0.7409,,original_test_metrics,,,,,301,223,,,,,
,,,,,,,,,0.7967,,,,,,,,,0.7448,,,,,122,0,,deepseek_v4_flash,600,,,,,,1.0,,,p2,0.5933,,original_test_metrics,,,,,300,178,,,,,
,,,,,,,,,0.6894,,,,,,,,,0.6847,,,,,98,89,,embedding_svm,602,,,,,,0.6952,,,p0-eb,0.6744,,original_test_metrics,,,,,212,203,,,,,
,,,,,,,,,0.6167,,,,,,,,,0.6372,,,,,98,132,,embedding_svm,600,,,,,,0.6048,,,p2,0.6733,,original_test_metrics,,,,,168,202,,,,,
,,,,,,,,,0.7957,,,,,,,,,0.7751,,,,,89,34,,graphcodebert,602,,,,,,0.8618,,,p0-eb,0.7043,,original_test_metrics,,,,,267,212,,,,,
,,,,,,,,,0.79,,,,,,,,,0.7701,,,,,89,37,,graphcodebert,600,,,,,,0.8508,,,p2,0.7033,,original_test_metrics,,,,,263,211,,,,,
,,,,,,,,,0.7342,,,,,,,,,0.7143,,,,,101,59,,unixcoder,602,,,,,,0.7722,,,p0-eb,0.6645,,original_test_metrics,,,,,242,200,,,,,
,,,,,,,,,0.76,,,,,,,,,0.7176,,,,,117,27,,unixcoder,600,,,,,,0.8714,,,p2,0.61,,original_test_metrics,,,,,273,183,,,,,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,301,0,,,b1,B1-random,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,301,0,,,b2,B2-length-matched,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,301,0,,,b3,B3-structure-matched,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,300,0,,,b1,B1-random,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,300,0,,,b2,B2-length-matched,
,,,,,,,,,1.0,,,,,,,,,0.0,,,,,0,0,,deepseek_v4_flash,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,300,0,,,b3,B3-structure-matched,
,,,,,,,,,0.6246,,,,,,,,,0.0,,,,,0,113,,embedding_svm,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,188,0,,,b1,B1-random,
,,,,,,,,,0.6113,,,,,,,,,0.0,,,,,0,117,,embedding_svm,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,184,0,,,b2,B2-length-matched,
,,,,,,,,,0.5914,,,,,,,,,0.0,,,,,0,123,,embedding_svm,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,178,0,,,b3,B3-structure-matched,
,,,,,,,,,0.54,,,,,,,,,0.0,,,,,0,138,,embedding_svm,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,162,0,,,b1,B1-random,
,,,,,,,,,0.5067,,,,,,,,,0.0,,,,,0,148,,embedding_svm,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,152,0,,,b2,B2-length-matched,
,,,,,,,,,0.5167,,,,,,,,,0.0,,,,,0,145,,embedding_svm,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,155,0,,,b3,B3-structure-matched,
,,,,,,,,,0.8771,,,,,,,,,0.0,,,,,0,37,,graphcodebert,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,264,0,,,b1,B1-random,
,,,,,,,,,0.8904,,,,,,,,,0.0,,,,,0,33,,graphcodebert,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,268,0,,,b2,B2-length-matched,
,,,,,,,,,0.8804,,,,,,,,,0.0,,,,,0,36,,graphcodebert,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,265,0,,,b3,B3-structure-matched,
,,,,,,,,,0.92,,,,,,,,,0.0,,,,,0,24,,graphcodebert,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,276,0,,,b1,B1-random,
,,,,,,,,,0.8567,,,,,,,,,0.0,,,,,0,43,,graphcodebert,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,257,0,,,b2,B2-length-matched,
,,,,,,,,,0.8633,,,,,,,,,0.0,,,,,0,41,,graphcodebert,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,259,0,,,b3,B3-structure-matched,
,,,,,,,,,0.8073,,,,,,,,,0.0,,,,,0,58,,unixcoder,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,243,0,,,b1,B1-random,
,,,,,,,,,0.7708,,,,,,,,,0.0,,,,,0,69,,unixcoder,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,232,0,,,b2,B2-length-matched,
,,,,,,,,,0.7674,,,,,,,,,0.0,,,,,0,70,,unixcoder,301,,,,,,0.0,,,p0-eb,0.0,,counterfactual_eval_metrics,,,,,231,0,,,b3,B3-structure-matched,
,,,,,,,,,0.9033,,,,,,,,,0.0,,,,,0,29,,unixcoder,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,271,0,,,b1,B1-random,
,,,,,,,,,0.9133,,,,,,,,,0.0,,,,,0,26,,unixcoder,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,274,0,,,b2,B2-length-matched,
,,,,,,,,,0.91,,,,,,,,,0.0,,,,,0,27,,unixcoder,300,,,,,,0.0,,,p2,0.0,,counterfactual_eval_metrics,,,,,273,0,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.7409,,,,,,,,,,,,,deepseek_v4_flash,,,,301,0.7409,0.7409,,,0.7409,p0-eb,,,counterfactual_shift_summaries,,0.0,0.0,301,,,,,b1,B1-random,
,,,,,,,,,,,,,0.7409,,,,,,,,,,,,,deepseek_v4_flash,,,,301,0.7409,0.7409,,,0.7409,p0-eb,,,counterfactual_shift_summaries,,0.0,0.0,301,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.7409,,,,,,,,,,,,,deepseek_v4_flash,,,,301,0.7409,0.7409,,,0.7409,p0-eb,,,counterfactual_shift_summaries,,0.0,0.0,301,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.5933,,,,,,,,,,,,,deepseek_v4_flash,,,,300,0.5933,0.5933,,,0.5933,p2,,,counterfactual_shift_summaries,,0.0,0.0,300,,,,,b1,B1-random,
,,,,,,,,,,,,,0.5933,,,,,,,,,,,,,deepseek_v4_flash,,,,300,0.5933,0.5933,,,0.5933,p2,,,counterfactual_shift_summaries,,0.0,0.0,300,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.5933,,,,,,,,,,,,,deepseek_v4_flash,,,,300,0.5933,0.5933,,,0.5933,p2,,,counterfactual_shift_summaries,,0.0,0.0,300,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.299,,,,,,,,,,,,,embedding_svm,,,,301,0.671,0.6744,,,0.3022,p0-eb,,,counterfactual_shift_summaries,,0.3688,0.3754,301,,,,,b1,B1-random,
,,,,,,,,,,,,,0.2857,,,,,,,,,,,,,embedding_svm,,,,301,0.671,0.6744,,,0.2933,p0-eb,,,counterfactual_shift_summaries,,0.3777,0.3887,301,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.2658,,,,,,,,,,,,,embedding_svm,,,,301,0.671,0.6744,,,0.2736,p0-eb,,,counterfactual_shift_summaries,,0.3974,0.4086,301,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.2133,,,,,,,,,,,,,embedding_svm,,,,300,0.6698,0.6733,,,0.2164,p2,,,counterfactual_shift_summaries,,0.4534,0.46,300,,,,,b1,B1-random,
,,,,,,,,,,,,,0.18,,,,,,,,,,,,,embedding_svm,,,,300,0.6698,0.6733,,,0.1689,p2,,,counterfactual_shift_summaries,,0.5009,0.4933,300,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.19,,,,,,,,,,,,,embedding_svm,,,,300,0.6698,0.6733,,,0.1779,p2,,,counterfactual_shift_summaries,,0.4918,0.4833,300,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.5814,,,,,,,,,,,,,graphcodebert,,,,301,0.7131,0.7043,,,0.5294,p0-eb,,,counterfactual_shift_summaries,,0.1836,0.1229,301,,,,,b1,B1-random,
,,,,,,,,,,,,,0.5947,,,,,,,,,,,,,graphcodebert,,,,301,0.7131,0.7043,,,0.5234,p0-eb,,,counterfactual_shift_summaries,,0.1897,0.1096,301,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.5847,,,,,,,,,,,,,graphcodebert,,,,301,0.7131,0.7043,,,0.5177,p0-eb,,,counterfactual_shift_summaries,,0.1953,0.1196,301,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.6233,,,,,,,,,,,,,graphcodebert,,,,300,0.7214,0.7033,,,0.5587,p2,,,counterfactual_shift_summaries,,0.1627,0.08,300,,,,,b1,B1-random,
,,,,,,,,,,,,,0.56,,,,,,,,,,,,,graphcodebert,,,,300,0.7214,0.7033,,,0.5269,p2,,,counterfactual_shift_summaries,,0.1945,0.1433,300,,,,,b2,B2-length-matched,
