model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
unixcoder,phase5a,preserving,ea2433d2cff65664,ea2433d2cff65664__preserve_idrename,Python,p02699,identifier_rename,auto_pass,no,False,0.2125,no,False,0.2059,True,False,False,False,0.006599999999999995,"{""val"": ""renamed_var_1"", ""mid"": ""renamed_var_2"", ""prime"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,f3687bf8c6190962,f3687bf8c6190962__preserve_idrename,Python,p03131,identifier_rename,auto_pass,yes,True,0.9902,yes,True,0.9884,True,False,True,False,0.0018000000000000238,"{""cur"": ""renamed_var_1""}",semantic_preserving
unixcoder,phase5a,preserving,45b8e3ac55c656a5,45b8e3ac55c656a5__preserve_idrename,Python,p03000,identifier_rename,auto_pass,yes,True,0.933,yes,True,0.8168,True,False,True,False,0.11620000000000008,"{""cnt"": ""renamed_var_1""}",semantic_preserving
unixcoder,phase5a,preserving,45bfd695fa7f23ee,45bfd695fa7f23ee__preserve_idrename,Python,p02823,identifier_rename,auto_pass,yes,True,0.9818,yes,True,0.9787,True,False,True,False,0.0030999999999999917,"{""temp"": ""renamed_var_1"", ""cnt1"": ""renamed_var_2"", ""cnt2"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,5f8926c61109288e,5f8926c61109288e__preserve_idrename,Python,p02741,identifier_rename,auto_pass,yes,True,0.5468,no,False,0.4818,False,True,False,True,0.06499999999999995,"{""prev"": ""renamed_var_1"", ""pre"": ""renamed_var_2"", ""sx"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,95e313b105763103,95e313b105763103__preserve_idrename,Python,p03267,identifier_rename,auto_pass,yes,True,0.9283,yes,True,0.8605,True,False,True,False,0.06779999999999997,"{""do"": ""renamed_var_1"", ""vertex"": ""renamed_var_2"", ""edge"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,6f15a2a012df4794,6f15a2a012df4794__preserve_idrename,Python,p03262,identifier_rename,auto_pass,no,False,0.3223,no,False,0.3016,True,False,False,False,0.020699999999999996,"{""x_lst"": ""renamed_var_1"", ""minimum"": ""renamed_var_2"", ""lst"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,4a338c0ee00e93ff,4a338c0ee00e93ff__preserve_idrename,Python,p02852,identifier_rename,auto_pass,yes,True,0.8532,yes,True,0.9297,True,False,True,False,-0.07650000000000001,"{""sap"": ""renamed_var_1"", ""sl"": ""renamed_var_2"", ""xap"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,cca4ff22383c99c0,cca4ff22383c99c0__preserve_idrename,Python,p03254,identifier_rename,auto_pass,yes,True,0.959,yes,True,0.9539,True,False,True,False,0.005099999999999993,"{""arr"": ""renamed_var_1"", ""best"": ""renamed_var_2"", ""temp"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,61ac4df01241c451,61ac4df01241c451__preserve_idrename,Python,p02912,identifier_rename,auto_pass,no,False,0.46,no,False,0.46,True,False,False,False,0.0,"{""A_new"": ""renamed_var_1"", ""mimi"": ""renamed_var_2"", ""val"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,115b20fd23d37ece,115b20fd23d37ece__preserve_idrename,Python,p02985,identifier_rename,auto_pass,yes,True,0.8905,yes,True,0.9407,True,False,True,False,-0.05020000000000002,"{""mod"": ""renamed_var_1"", ""edge"": ""renamed_var_2"", ""pl"": ""renamed_var_3""}",semantic_preserving
unixcoder,phase5a,preserving,91e6856c58727da2,91e6856c58727da2__preserve_idrename,Python,p03315,identifier_rename,auto_pass,yes,True,0.9535,yes,True,0.9345,True,False,True,False,0.019000000000000017,"{""result"": ""renamed_var_1""}",semantic_preserving
