model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
unixcoder,breaking_v2_mini,breaking,115b20fd23d37ece,115b20fd23d37ece__breakv2_final_print_expr_perturb,Python,p02985,final_print_expr_perturb,auto_pass,yes,True,0.8905,yes,True,0.8905,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,95e313b105763103,95e313b105763103__breakv2_final_print_expr_perturb,Python,p03267,final_print_expr_perturb,auto_pass,yes,True,0.9283,yes,True,0.9283,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,916017934a2a7d8b,916017934a2a7d8b__breakv2_final_print_expr_perturb,Python,p02701,final_print_expr_perturb,auto_pass,no,False,0.2623,no,False,0.2628,True,False,False,False,-0.0005000000000000004,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,61ac4df01241c451,61ac4df01241c451__breakv2_final_print_expr_perturb,Python,p02912,final_print_expr_perturb,auto_pass,no,False,0.46,no,False,0.46,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,c3fb32bd7916b2ef,c3fb32bd7916b2ef__breakv2_final_print_expr_perturb,Python,p03162,final_print_expr_perturb,auto_pass,yes,True,0.9241,yes,True,0.9241,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,117ad1a0bf77f7b1,117ad1a0bf77f7b1__breakv2_final_print_expr_perturb,Python,p02399,final_print_expr_perturb,auto_pass,yes,True,0.8529,yes,True,0.8546,True,False,True,False,-0.0017000000000000348,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,028535e0d1809887,028535e0d1809887__breakv2_final_print_expr_perturb,Python,p02881,final_print_expr_perturb,auto_pass,no,False,0.2097,no,False,0.2097,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,e52139cdb5ee23b0,e52139cdb5ee23b0__breakv2_output_string_flip,Python,p03293,output_string_flip,auto_pass,no,False,0.0826,no,False,0.0826,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,842a4c0c5615af41,842a4c0c5615af41__breakv2_final_cout_expr_perturb,C++,p02852,final_cout_expr_perturb,manual_required,yes,True,0.9676,yes,True,0.9676,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,65026679daddd9c4,65026679daddd9c4__breakv2_final_cout_expr_perturb,C++,p02696,final_cout_expr_perturb,auto_pass,yes,True,0.9503,yes,True,0.9503,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,a3d07435000e7d0c,a3d07435000e7d0c__breakv2_final_cout_expr_perturb,C++,p03254,final_cout_expr_perturb,auto_pass,yes,True,0.9773,yes,True,0.9773,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,d581815418c7e597,d581815418c7e597__breakv2_final_cout_expr_perturb,C++,p02612,final_cout_expr_perturb,manual_required,yes,True,0.9926,yes,True,0.9926,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,da23e4f930a96b3f,da23e4f930a96b3f__breakv2_final_cout_expr_perturb,C++,p02898,final_cout_expr_perturb,auto_pass,yes,True,0.9891,yes,True,0.9891,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,fb99e319252f2031,fb99e319252f2031__breakv2_final_cout_expr_perturb,C++,p02741,final_cout_expr_perturb,manual_required,yes,True,0.9211,yes,True,0.9211,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,5fb03a234a88bb66,5fb03a234a88bb66__breakv2_final_return_expr_perturb,C++,p02957,final_return_expr_perturb,auto_pass,yes,True,0.9807,yes,True,0.9807,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,1a19456dc6fcf835,1a19456dc6fcf835__breakv2_output_string_flip,C++,p02640,output_string_flip,auto_pass,no,False,0.1835,no,False,0.1835,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,46f9156e2a6bebb6,46f9156e2a6bebb6__breakv2_final_print_expr_perturb,Go,p02912,final_print_expr_perturb,manual_required,no,False,0.4229,no,False,0.4229,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,c26cbadfe8ea06e1,c26cbadfe8ea06e1__breakv2_final_return_expr_perturb,Go,p03267,final_return_expr_perturb,manual_required,yes,True,0.9149,yes,True,0.9133,True,False,True,False,0.0016000000000000458,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,a53b61f6bf590dc9,a53b61f6bf590dc9__breakv2_final_print_expr_perturb,Go,p02741,final_print_expr_perturb,manual_required,yes,True,0.9862,yes,True,0.9853,True,False,True,False,0.0009000000000000119,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,4f9d69cb6a94ca01,4f9d69cb6a94ca01__breakv2_final_print_expr_perturb,Go,p02694,final_print_expr_perturb,manual_required,yes,True,0.563,yes,True,0.563,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,14c63a8170301676,14c63a8170301676__breakv2_final_return_expr_perturb,Go,p03206,final_return_expr_perturb,manual_required,no,False,0.43,no,False,0.43,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,e41cc8a5db397f54,e41cc8a5db397f54__breakv2_output_string_flip,Go,p02699,output_string_flip,manual_required,yes,True,0.9895,yes,True,0.9894,True,False,True,False,0.00010000000000010001,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,0a7ee5cd155e0464,0a7ee5cd155e0464__breakv2_final_print_expr_perturb,Go,p02927,final_print_expr_perturb,manual_required,yes,True,0.9913,yes,True,0.9913,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,e2e3ebdd8e3fcd12,e2e3ebdd8e3fcd12__breakv2_final_print_expr_perturb,Go,p02775,final_print_expr_perturb,manual_required,yes,True,0.5308,yes,True,0.5308,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,a8deed027c254394,a8deed027c254394__breakv2_final_console_expr_perturb,JavaScript,p03131,final_console_expr_perturb,auto_pass,no,False,0.1109,no,False,0.1109,True,False,False,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,be51e56bfd5ef570,be51e56bfd5ef570__breakv2_final_console_expr_perturb,JavaScript,p02419,final_console_expr_perturb,auto_pass,yes,True,0.7896,yes,True,0.7896,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,688026d3d0aa82b9,688026d3d0aa82b9__breakv2_final_console_expr_perturb,JavaScript,p02741,final_console_expr_perturb,auto_pass,yes,True,0.9851,yes,True,0.9852,True,False,True,False,-9.999999999998899e-05,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,dbcea0a9b822e338,dbcea0a9b822e338__breakv2_final_console_expr_perturb,JavaScript,p03254,final_console_expr_perturb,auto_pass,yes,True,0.9844,yes,True,0.9844,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,9651bda37cc192f8,9651bda37cc192f8__breakv2_final_console_expr_perturb,JavaScript,p02927,final_console_expr_perturb,auto_pass,yes,True,0.8234,yes,True,0.8234,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,089151f5e7341729,089151f5e7341729__breakv2_final_console_expr_perturb,JavaScript,p02898,final_console_expr_perturb,auto_pass,yes,True,0.9669,yes,True,0.9629,True,False,True,False,0.0040000000000000036,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,ecefc144f1ba506e,ecefc144f1ba506e__breakv2_final_console_expr_perturb,JavaScript,p02985,final_console_expr_perturb,auto_pass,yes,True,0.9771,yes,True,0.9771,True,False,True,False,0.0,{},semantic_breaking_v2
unixcoder,breaking_v2_mini,breaking,9f9a3ebce5c12a17,9f9a3ebce5c12a17__breakv2_final_console_expr_perturb,JavaScript,p02685,final_console_expr_perturb,auto_pass,no,False,0.072,no,False,0.072,True,False,False,False,0.0,{},semantic_breaking_v2
