model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
a4_full,breaking_v2_mini,breaking,115b20fd23d37ece,115b20fd23d37ece__breakv2_final_print_expr_perturb,Python,p02985,final_print_expr_perturb,auto_pass,yes,True,0.8078,yes,True,0.810921,True,False,True,False,-0.0031210000000000404,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,95e313b105763103,95e313b105763103__breakv2_final_print_expr_perturb,Python,p03267,final_print_expr_perturb,auto_pass,yes,True,0.7109,yes,True,0.71641,True,False,True,False,-0.005510000000000015,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,916017934a2a7d8b,916017934a2a7d8b__breakv2_final_print_expr_perturb,Python,p02701,final_print_expr_perturb,auto_pass,no,False,0.479,no,False,0.489582,True,False,False,False,-0.010582000000000036,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,61ac4df01241c451,61ac4df01241c451__breakv2_final_print_expr_perturb,Python,p02912,final_print_expr_perturb,auto_pass,no,False,0.1771,no,False,0.178426,True,False,False,False,-0.0013259999999999939,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,c3fb32bd7916b2ef,c3fb32bd7916b2ef__breakv2_final_print_expr_perturb,Python,p03162,final_print_expr_perturb,auto_pass,yes,True,0.86,yes,True,0.862757,True,False,True,False,-0.0027570000000000094,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,117ad1a0bf77f7b1,117ad1a0bf77f7b1__breakv2_final_print_expr_perturb,Python,p02399,final_print_expr_perturb,auto_pass,no,False,0.4818,no,False,0.482705,True,False,False,False,-0.0009049999999999891,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,028535e0d1809887,028535e0d1809887__breakv2_final_print_expr_perturb,Python,p02881,final_print_expr_perturb,auto_pass,yes,True,0.805,yes,True,0.809868,True,False,True,False,-0.0048679999999999835,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,e52139cdb5ee23b0,e52139cdb5ee23b0__breakv2_output_string_flip,Python,p03293,output_string_flip,auto_pass,yes,True,0.563,no,False,0.486123,False,True,False,True,0.07687699999999992,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,842a4c0c5615af41,842a4c0c5615af41__breakv2_final_cout_expr_perturb,C++,p02852,final_cout_expr_perturb,manual_required,yes,True,0.7679,yes,True,0.774089,True,False,True,False,-0.006189,{},semantic_breaking_v2
a4_full,breaking_v2_mini,breaking,65026679daddd9c4,65026679daddd9c4__breakv2_final_cout_expr_perturb,C++,p02696,final_cout_expr_perturb,auto_pass,yes,True,0.6265,yes,True,0.628521,True,False,True,False,-0.0020210000000000505,{},semantic_breaking_v2
