model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
deepseek_v4_flash,breaking_v1_conservative_off,breaking,c689157cf42dc511,c689157cf42dc511__break_boolean_literal_flip,Python,p02696,boolean_literal_flip,auto_pass,yes,True,,yes,True,,True,False,True,False,,"{""inf"": ""renamed_var_1"", ""eps"": ""renamed_var_2"", ""mod"": ""renamed_var_3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,7b2f471300b303aa,7b2f471300b303aa__break_comparator_flip,Go,p02612,comparator_flip,manual_required,no,False,,yes,True,,False,True,False,False,,"{""post"": ""renamedVar1"", ""pre"": ""renamedVar2"", ""div"": ""renamedVar3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,da25ea3ba4cffb11,da25ea3ba4cffb11__break_comparator_flip,JavaScript,p02852,comparator_flip,auto_pass,yes,True,,no,False,,False,True,False,True,,"{""ansArray"": ""renamedVar1"", ""presentIdx"": ""renamedVar2""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,bd4648d43dca43e0,bd4648d43dca43e0__break_comparator_flip,C++,p03000,comparator_flip,auto_pass,no,False,,no,False,,True,False,False,False,,"{""N"": ""renamedVar1"", ""i"": ""renamedVar2"", ""result"": ""renamedVar3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,e81e53daaa872734,e81e53daaa872734__break_comparator_flip,C++,p02823,comparator_flip,manual_required,no,False,,yes,True,,False,True,False,False,,"{""i"": ""renamedVar1"", ""n"": ""renamedVar2""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,1dd23961cc5137a8,1dd23961cc5137a8__break_comparator_flip,Go,p02823,comparator_flip,manual_required,yes,True,,no,False,,False,True,False,True,,"{""in"": ""renamedVar1"", ""err"": ""renamedVar2""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,089151f5e7341729,089151f5e7341729__break_comparator_flip,JavaScript,p02898,comparator_flip,auto_pass,yes,True,,no,False,,False,True,False,True,,"{""IN"": ""renamedVar1"", ""list"": ""renamedVar2""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,5a0835cb444f08ae,5a0835cb444f08ae__break_comparator_flip,JavaScript,p03162,comparator_flip,auto_pass,yes,True,,no,False,,False,True,False,True,,"{""maxs"": ""renamedVar1"", ""maxsub"": ""renamedVar2"", ""tmp"": ""renamedVar3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,9651bda37cc192f8,9651bda37cc192f8__break_comparator_flip,JavaScript,p02927,comparator_flip,auto_pass,no,False,,no,False,,True,False,False,False,,"{""answer"": ""renamedVar1"", ""count"": ""renamedVar2"", ""number"": ""renamedVar3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,d0c0c43b532e1531,d0c0c43b532e1531__break_comparator_flip,C++,p03293,comparator_flip,auto_pass,yes,True,,no,False,,False,True,False,True,,"{""Maxn"": ""renamedVar1"", ""Inf"": ""renamedVar2"", ""a"": ""renamedVar3""}",semantic_breaking
deepseek_v4_flash,breaking_v1_conservative_off,breaking,5b9ffe45cac5dcef,5b9ffe45cac5dcef__break_boolean_literal_flip,JavaScript,p03267,boolean_literal_flip,auto_pass,no,False,,no,False,,True,False,False,False,,"{""cin"": ""renamedVar1"", ""ce"": ""renamedVar2"", ""te"": ""renamedVar3""}",semantic_breaking
