model,tag,variant_name,source_pair_id,variant_pair_id,lang_b,problem_id,transformation_type,validation_status,original_prediction_text,original_prediction_is_clone,original_prob_yes,variant_prediction_text,variant_prediction_is_clone,variant_prob_yes,decision_consistent,decision_changed,clone_preserved,clone_rejected,prob_yes_drop,rename_map,semantic_variant_kind
a4_full,phase5b,breaking,c689157cf42dc511,c689157cf42dc511__break_boolean_literal_flip,Python,p02696,boolean_literal_flip,auto_pass,no,False,0.3375,no,False,0.331892,True,False,False,False,0.005608000000000002,"{""inf"": ""renamed_var_1"", ""eps"": ""renamed_var_2"", ""mod"": ""renamed_var_3""}",semantic_breaking
a4_full,phase5b,breaking,7b2f471300b303aa,7b2f471300b303aa__break_comparator_flip,Go,p02612,comparator_flip,manual_required,no,False,0.1892,no,False,0.189212,True,False,False,False,-1.1999999999984245e-05,"{""post"": ""renamedVar1"", ""pre"": ""renamedVar2"", ""div"": ""renamedVar3""}",semantic_breaking
a4_full,phase5b,breaking,da25ea3ba4cffb11,da25ea3ba4cffb11__break_comparator_flip,JavaScript,p02852,comparator_flip,auto_pass,no,False,0.4609,no,False,0.45763,True,False,False,False,0.003269999999999995,"{""ansArray"": ""renamedVar1"", ""presentIdx"": ""renamedVar2""}",semantic_breaking
a4_full,phase5b,breaking,bd4648d43dca43e0,bd4648d43dca43e0__break_comparator_flip,C++,p03000,comparator_flip,auto_pass,yes,True,0.672,yes,True,0.66608,True,False,True,False,0.005920000000000036,"{""N"": ""renamedVar1"", ""i"": ""renamedVar2"", ""result"": ""renamedVar3""}",semantic_breaking
a4_full,phase5b,breaking,e81e53daaa872734,e81e53daaa872734__break_comparator_flip,C++,p02823,comparator_flip,manual_required,no,False,0.4879,no,False,0.483579,True,False,False,False,0.004321000000000019,"{""i"": ""renamedVar1"", ""n"": ""renamedVar2""}",semantic_breaking
a4_full,phase5b,breaking,1dd23961cc5137a8,1dd23961cc5137a8__break_comparator_flip,Go,p02823,comparator_flip,manual_required,yes,True,0.8308,yes,True,0.827786,True,False,True,False,0.003013999999999961,"{""in"": ""renamedVar1"", ""err"": ""renamedVar2""}",semantic_breaking
a4_full,phase5b,breaking,089151f5e7341729,089151f5e7341729__break_comparator_flip,JavaScript,p02898,comparator_flip,auto_pass,yes,True,0.69,yes,True,0.683429,True,False,True,False,0.0065709999999999935,"{""IN"": ""renamedVar1"", ""list"": ""renamedVar2""}",semantic_breaking
a4_full,phase5b,breaking,5a0835cb444f08ae,5a0835cb444f08ae__break_comparator_flip,JavaScript,p03162,comparator_flip,auto_pass,yes,True,0.9854,yes,True,0.984993,True,False,True,False,0.0004070000000000462,"{""maxs"": ""renamedVar1"", ""maxsub"": ""renamedVar2"", ""tmp"": ""renamedVar3""}",semantic_breaking
a4_full,phase5b,breaking,9651bda37cc192f8,9651bda37cc192f8__break_comparator_flip,JavaScript,p02927,comparator_flip,auto_pass,yes,True,0.7974,yes,True,0.79286,True,False,True,False,0.0045399999999999885,"{""answer"": ""renamedVar1"", ""count"": ""renamedVar2"", ""number"": ""renamedVar3""}",semantic_breaking
a4_full,phase5b,breaking,d0c0c43b532e1531,d0c0c43b532e1531__break_comparator_flip,C++,p03293,comparator_flip,auto_pass,yes,True,0.5181,yes,True,0.518064,True,False,True,False,3.6000000000036e-05,"{""Maxn"": ""renamedVar1"", ""Inf"": ""renamedVar2"", ""a"": ""renamedVar3""}",semantic_breaking
