model,tag,source_pair_id,lang_b,problem_id,original_prediction_is_clone,preserving_prediction_is_clone,breaking_prediction_is_clone,preserve_yes_break_no,directionally_correct,directionally_wrong,preserving_transformation_type,breaking_transformation_type
a4_full,phase5b,028535e0d1809887,Python,p02881,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,0369d33b9d056712,Go,p02701,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,089151f5e7341729,JavaScript,p02898,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,0a7ee5cd155e0464,Go,p02927,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,0d62e25fedf48833,Go,p03162,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,0e413612fa1096d9,JavaScript,p02696,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,115b20fd23d37ece,Python,p02985,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,117ad1a0bf77f7b1,Python,p02399,False,False,True,False,False,False,identifier_rename,integer_literal_perturb
a4_full,phase5b,11f877dbc473818c,JavaScript,p02700,False,False,False,False,False,False,identifier_rename,answer_string_flip
a4_full,phase5b,14c63a8170301676,Go,p03206,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,16c5331c15663611,C++,p02694,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,1a19456dc6fcf835,C++,p02640,True,True,True,False,False,False,identifier_rename,answer_string_flip
a4_full,phase5b,1ce46fd19d65fc1f,Python,p02685,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,1dd23961cc5137a8,Go,p02823,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,250ba66423b35229,JavaScript,p02823,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,252a2a6a872d7c16,C++,p02775,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,2557c26a26419c91,C++,p02985,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,282d2b3def29eda2,Go,p02640,True,True,True,False,False,False,identifier_rename,answer_string_flip
a4_full,phase5b,288b5652bf50e0aa,Go,p03254,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,2909f08c30de3750,C++,p03262,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,2fa5a5b592becc33,Go,p02898,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,2fd8bed5f5e180de,Go,p02957,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,35f2af3c7a290c8a,JavaScript,p03206,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,45b8e3ac55c656a5,Python,p03000,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,45bfd695fa7f23ee,Python,p02823,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,46f9156e2a6bebb6,Go,p02912,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,4a338c0ee00e93ff,Python,p02852,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,4f9d69cb6a94ca01,Go,p02694,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,530051f2f2db34d4,Python,p02694,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,59256ecdbda35f77,JavaScript,p02912,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,5a0835cb444f08ae,JavaScript,p03162,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,5b9ffe45cac5dcef,JavaScript,p03267,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,5c8c08fabb74b213,Python,p02898,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,5f8926c61109288e,Python,p02741,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,5fb03a234a88bb66,C++,p02957,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,61ac4df01241c451,Python,p02912,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,64c5ab2f4bf9d957,Go,p02399,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,65026679daddd9c4,C++,p02696,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,667c4b2bf9af3b9e,C++,p03315,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,683c944b4865cb6c,Python,p02927,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,688026d3d0aa82b9,JavaScript,p02741,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,6b556cb43ec86e2c,C++,p03267,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,6f15a2a012df4794,Python,p03262,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,76bc1795ffa5932c,JavaScript,p02797,True,True,True,False,False,False,identifier_rename,comparator_flip
